ACCIDENT_NO,NODE_ID,ROAD_ROUTE_1,ROAD_NAME,ROAD_TYPE,ROAD_NAME_INT,ROAD_TYPE_INT,DISTANCE_LOCATION,DIRECTION_LOCATION
T20160011332,303804,5061,SPENCER,STREET,SIDDELEY,STREET,39,S
T20150001396,281164,2740,PYRENEES,HIGHWAY,AVOCA,ROAD,20,SW
T20230026783,790379,9999,ABECKETT,ROAD,GEORGE,STREET,1,W
T20160020864,308748,9999,COBURNS,ROAD,WILLANDRA,BOULEVARD,,N
T20160022953,41690,5303,WAVERLEY,ROAD,HEANY,STREET,,W
T20230007534,308118,9999,THE GREAT EASTERN,WAY,VINCENT,DRIVE,,N
T20180014505,38090,5876,GRANGE,ROAD,SEPARATION,STREET,,N
T20150008199,41261,2060,NORTH,ROAD,HAWTHORN,ROAD,,W
T20200008280,15137,9999,LYDIARD,STREET,STURT,STREET,,N
T20150005758,289643,2000,MONASH,FREEWAY,HEATHERTON-MONASH IN ON,RAMP,80,S
T20190012106,346662,4034,POINT NEPEAN,ROAD,WEEROONA,STREET,33,W
T20220000295,701276,9999,MILLER,STREET,HALL,STREET,30,S
T20240023361,808523,2520,WESTERN,FREEWAY,BALLAN-GREENDALE,ROAD,346,E
T20220029484,37955,9999,HIGH,STREET,MITCHELL,STREET,,N
T20220016153,783858,9999,STATION,STREET,HENRY,STREET,7,S
T20120007365,251072,2290,WELLINGTON,ROAD,STUD,ROAD,39,W
T20160000705,298346,2170,MAIN,ROAD,GORMANDALE-STRADBROKE,ROAD,93,W
T20230023215,801322,9999,ALBION,STREET,ALBION,STREET,36,E
T20170007917,207751,5365,LANCASTER-MOOROOPNA,ROAD,BYRNESIDE-KYABRAM,ROAD,,W
T20240009463,317895,9999,LYGON,DRIVE,CLARENDON,AVENUE,,N
T20190009308,586438,9999,CHURCH,STREET,RAILWAY,WALK,28,NW
T20210024617,703277,4005,BUCKLAND VALLEY,ROAD,BUCKLAND VALLEY ALT,ROAD,12,S
T20170017351,321613,2530,CALDER,HIGHWAY,YORKSHIRE,ROAD,,E
T20150024912,296896,9999,REYNARD,STREET,CHANDOS,STREET,39,W
T20180021271,45502,9999,HILLVIEW,AVENUE,REYNARD,STREET,,N
T20200007772,35356,9999,FLINDERS,STREET,QUEENS BRIDGE,STREET,,W
T20220012954,782022,5304,CENTRE,ROAD,SPRINGVALE,ROAD,13,W
T20240027806,810433,9999,ZEALLY BAY,ROAD,GEELONG,ROAD,152,E
T20160020415,308501,2720,MAROONDAH,HIGHWAY,MIDHURST,ROAD,186,NE
T20150005601,286759,5247,ARARAT-ST ARNAUD,ROAD,TOTTINGTON,ROAD,641,S
T20130015957,262571,9999,DORCAS,STREET,DODDS,STREET,30,W
T20220002141,709522,9999,MURRAY,ROAD,LAW,STREET,49,SW
T20240019759,808170,5074,COLAC-BALLARAT,ROAD,GOLDEN REEF,ROAD,156,N
T20140014296,45823,9999,MORELL,STREET,MORLEY,STREET,,W
T20130018064,40926,5920,BORONIA,ROAD,LEWIS,ROAD,,W
T20130024917,265027,5306,HUNTINGDALE,ROAD,SYLVAN,CRESCENT,24,N
T20130009739,72359,5594,QUEEN,STREET,PHOENIX,STREET,,W
T20190012851,360382,9999,SAN MATEO,AVENUE,ELEVENTH,STREET,104,SW
T20170009240,241904,9999,BRANDON PARK,DRIVE,COLLEGIUM,AVENUE,26,N
T20160012439,35744,5820,MICKLEHAM,ROAD,ALANBRAE,TERRACE,,S
T20160002324,299294,5899,ELGAR,ROAD,WHITEHORSE,ROAD,38,N
T20170010239,46379,5104,POUND,ROAD,VERONA,DRIVE,,W
T20220019491,44174,9999,EASTBOURNE,ROAD,JETTY,ROAD,,W
T20140019699,29611,5801,HIGH,STREET,SUMMERHILL,ROAD,,W
T20150009923,292073,9999,FARLEY,ROAD,MURRAY BANK,DRIVE,153,N
T20160014110,264123,5762,HEIDELBERG,ROAD,COMO,STREET,75,W
T20190011882,41205,9999,HALIFAX,STREET,WILSON,STREET,,NE
T20190013714,579964,9999,CLOVER,STREET,BATES,ROAD,79,NE
T20160006713,301828,4890,GREAT OCEAN,ROAD,GOLF LINKS,ROAD,2629,SW
T20220022360,43132,9999,ESSEX PARK,DRIVE,POWER,ROAD,,E
T20230005628,775758,9999,CAIRNLEA,DRIVE,WILDFLOWER,LANE,53,NW
T20170020992,51000,5409,BALACLAVA,ROAD,CLIVE,STREET,,W
